job,skill,years
Technical Lead / ClipFile.2,Omnigraffle,5
Technical Lead / ClipFile.2,MS Project,5
Technical Lead / ClipFile.3,Apache Parquet,5
Technical Lead / ClipFile.3,_Secrets Manager,5
Technical Lead / ClipFile.3,_CLI,5
Technical Lead / ClipFile.3,_architecture,5
Technical Lead / ClipFile.3,API Gateway,5
Technical Lead / ClipFile.3,Vue,5
Technical Lead / ClipFile.3,Vuetify,5
Technical Lead / ClipFile.3,JQuery,5
Technical Lead / ClipFile.3,XSLT,5
Technical Lead / ClipFile.3,Altova XMLSpy,5
Technical Lead / ClipFile.3,DynamoDB,5
Technical Lead / ClipFile.3,_Hibernate,5
Technical Lead / ClipFile.3,Flyway,5
Technical Lead / ClipFile.3,Jboss,5
Technical Lead / ClipFile.3,Spring,5
Technical Lead / ClipFile.3,Spring JPA,5
Technical Lead / ClipFile.3,Hibernate,5
Technical Lead / ClipFile.3,Maven,5
Technical Lead / ClipFile.3,Ant,5
Technical Lead / ClipFile.3,Selenium,5
Technical Lead / ClipFile.3,_IAM,5
Technical Lead / ClipFile.3,_S3,5
Technical Lead / ClipFile.3,Akamai,5
Technical Lead / ClipFile.3,VSCode,5
Technical Lead / ClipFile.3,Omnigraffle,5
Technical Lead / ClipFile.3,MS Project,5
Sierra Vista Group,Apache Parquet,9
Sierra Vista Group,_Secrets Manager,9
Sierra Vista Group,_CLI,9
Sierra Vista Group,_architecture,9
Sierra Vista Group,VSCode,9
Sierra Vista Group,PyCharm,9
Sierra Vista Group,Omnigraffle,9
__Technical Lead / MSC,Apache Parquet,3
__Technical Lead / MSC,_Secrets Manager,3
__Technical Lead / MSC,_CLI,3
__Technical Lead / MSC,_architecture,3
__Technical Lead / MSC,XSLT,3
__Technical Lead / MSC,Altova XMLSpy,3
__Technical Lead / MSC,VSCode,3
__Technical Lead / MSC,PyCharm,3
__Technical Lead / MSC,Omnigraffle,3
__Consulting Architect  / Eleven,Apache Parquet,2
__Consulting Architect  / Eleven,_Secrets Manager,2
__Consulting Architect  / Eleven,_CLI,2
__Consulting Architect  / Eleven,_architecture,2
